entity,type,denomination,address,town,county,phone,email,website,notes
Skokie Valley Agudath Jacob Synagogue,Church/Religious,Jewish - Orthodox,"8825 East Prairie Rd, Skokie, IL 60076",Skokie,Cook,(847) 674-3473,office@svaj.org,svaj.org,Large Orthodox synagogue. Houses Kol Sasson Congregation in Israel Hall. Established community institution.
Temple Beth Israel,Church/Religious,Jewish - Reform,"3601 W Dempster St, Skokie, IL 60076",Skokie,Cook,(847) 675-0951,info@TBISkokie.org,tbiskokie.org,Reform synagogue in Skokie. Significant building on Dempster St.
"Ezra-Habonim, Niles Township Jewish Congregation",Church/Religious,Jewish - Conservative/Reconstructionist,"4500 Dempster St, Skokie, IL 60076",Skokie,Cook,(847) 675-4141,office@ehnt.org,ehnt.org,Large Conservative/Reconstructionist synagogue. Major community institution in Skokie.
Congregation Kol Emeth,Church/Religious,Jewish - Conservative,"5130 Touhy Ave, Skokie, IL 60077",Skokie,Cook,(847) 673-3370,,kolemethskokie.org,Conservative synagogue on Touhy Ave.
Kehilat Chovevei Tzion,Church/Religious,Jewish - Modern Orthodox,"9220 Crawford Ave, Skokie, IL 60076",Skokie,Cook,(847) 673-8592,office@skokieshul.org,skokieshul.org,Modern Orthodox synagogue. Active community.
Young Israel of Skokie,Church/Religious,Jewish - Orthodox,"8746 E Prairie Rd, Skokie, IL 60076",Skokie,Cook,(847) 329-0990,office@yiskokie.org,youngisraelskokie.org,"Orthodox synagogue, part of National Council of Young Israel network."
Congregation Bene Shalom,Church/Religious,Jewish - Reform,"4435 W Oakton St, Skokie, IL 60076",Skokie,Cook,(847) 677-3330,,beneshalom.com,Reform synagogue. Unique: serves Deaf and hearing communities with ASL. Founded 1972.
Kol Sasson Congregation,Church/Religious,Jewish - Orthodox,"8825 East Prairie Rd, Skokie, IL 60076",Skokie,Cook,,info@kolsasson.org,kolsasson.org,Meets at Skokie Valley Agudath Jacob Synagogue in Israel Hall.
Beth Emet The Free Synagogue,Church/Religious,Jewish - Reform,"1224 Dempster St, Evanston, IL 60202",Evanston,Cook,(847) 869-4230,info@bethemet.org,bethemet.org,Large Reform synagogue. Merged with Temple Judea Mizpah. Major campus building in Evanston.
Beth Hillel Bnai Emunah,Church/Religious,Jewish - Conservative,"3220 Big Tree Ln, Wilmette, IL 60091",Wilmette,Cook,(847) 256-1213,information@bhbe.org,bhbe.org,Large Conservative synagogue with early childhood center/school. Major campus in Wilmette.
Congregation Sukkat Shalom,Church/Religious,Jewish - Reform,"1001 Central Ave, Wilmette, IL 60091",Wilmette,Cook,(847) 251-2675,sukkatshalom@sukkatshalom.org,sukkatshalom.org,Reform congregation in Wilmette. Celebrates diversity and welcomes interfaith families.
Fraida-Cameron Chabad Center of Wilmette,Church/Religious,Jewish - Chabad/Orthodox,"2904 Old Glenview Rd, Wilmette, IL 60091",Wilmette,Cook,,,chabadwilmette.com,"Chabad center with synagogue, classes, and community programs."
North Shore Jewish Center - Congregation Or Simcha,Church/Religious,Jewish - Orthodox,"237 Thelin Ct, Wilmette, IL 60091",Wilmette,Cook,(847) 840-8633,info@orsimcha.com,orsimcha.com,Orthodox congregation. Services held at Wilmette Community Recreation Center.
North Shore Congregation Israel,Church/Religious,Jewish - Reform,"1185 Sheridan Rd, Glencoe, IL 60022",Glencoe,Cook,(847) 835-0724,toddb@nsci.org,nsci.org,LARGE landmark Reform synagogue. Architecturally significant building designed by Minoru Yamasaki. Major campus on Sheridan Rd.
Am Shalom,Church/Religious,Jewish - Reform,"840 Vernon Ave, Glencoe, IL 60022",Glencoe,Cook,(847) 835-4800,alatala@amshalom.com,amshalom.com,Reform congregation established 1972. Community building in Glencoe.
Congregation Hakafa,Church/Religious,Jewish - Reform,"P.O. Box 409, Glencoe, IL 60022",Glencoe,Cook,(847) 242-0687,conghakafa@hakafa.org,hakafa.org,"Reform congregation meeting in Glencoe. Smaller congregation, meets in shared space."
North Suburban Synagogue Beth El,Church/Religious,Jewish - Conservative,"1175 Sheridan Rd, Highland Park, IL 60035",Highland Park,Lake,(847) 432-8900,office@nssbethel.org,nssbethel.org,"LARGE Conservative synagogue. Major campus with sanctuary, school, social hall, offices. One of the premier Conservative synagogues in the Midwest."
North Suburban Lubavitch Chabad - Central Avenue Synagogue,Church/Religious,Jewish - Chabad/Orthodox,"874 Central Ave, Highland Park, IL 60035",Highland Park,Lake,(847) 266-0770,info@nschabad.org,nschabad.org,"Chabad center serving Highland Park, Deerfield, Glencoe. Includes mikvah, Hebrew school."
Har-Shalom Synagogue,Church/Religious,Jewish - Reform,"1945 First St #367, Highland Park, IL 60035",Highland Park,Lake,(847) 814-7456,rabbi@har-shalom.com,har-shalom.com,Smaller Reform congregation in Highland Park.
Moriah Congregation,Church/Religious,Jewish - Conservative,"200 Taub Dr, Deerfield, IL 60015",Deerfield,Lake,(847) 948-5340,info@moriahcong.org,moriahcong.org,Conservative synagogue with early childhood center/school. Campus with multiple buildings.
Congregation B'nai Tikvah,Church/Religious,Jewish - Conservative,"1558 Wilmot Rd, Deerfield, IL 60015",Deerfield,Lake,(847) 945-0470,info@bnaitikvah.net,bnaitikvah.net,Conservative synagogue in Deerfield. Established suburban congregation.
Congregation B'nai Jehoshua Beth Elohim (BJBE),Church/Religious,Jewish - Reform,"1201 Lake Cook Rd, Deerfield, IL 60015",Deerfield,Lake,(847) 940-7575,bjbe@bjbe.org,bjbe.org,"LARGE Reform synagogue on Lake Cook Rd. Major campus with sanctuary, school, social hall."
Congregation Beth Shalom,Church/Religious,Jewish - Conservative,"3433 Walters Ave, Northbrook, IL 60062",Northbrook,Cook,(847) 498-4100,cbsnb3433@aol.com,bethshalomnb.org,Conservative synagogue in Northbrook.
Northbrook Community Synagogue,Church/Religious,Jewish - Traditional,"2548 Jasper Ct, Northbrook, IL 60062",Northbrook,Cook,(847) 509-9204,office@northbrookcommunitysynagogue.org,northbrookcommunitysynagogue.org,Traditional synagogue formed from merger with Maine Township Jewish Congregation.
Lubavitch Chabad of Northbrook,Church/Religious,Jewish - Chabad/Orthodox,"2095 Landwehr Rd, Northbrook, IL 60062",Northbrook,Cook,(847) 564-8770,rabbi@chabadnorthbrook.com,chabadnorthbrook.com,"Chabad center with synagogue, Hebrew school, classes, community programs."
Temple Beth-El,Church/Religious,Jewish - Reform,"3610 Dundee Rd, Northbrook, IL 60062",Northbrook,Cook,(847) 205-9982,office@templebeth-el.org,templebeth-el.org,Reform synagogue on Dundee Rd in Northbrook.
Congregation Beth Am,Church/Religious,Jewish - Reform,"1370 Abbott Ct, Buffalo Grove, IL 60089",Buffalo Grove,Lake,(847) 383-5017,lbellows@bethambg.org,bethambg.org,Reform synagogue in Buffalo Grove. Community food pantry on site.
Congregation B'nai Shalom of Buffalo Grove,Church/Religious,Jewish - Traditional/Orthodox,"701 W Aptakisic Rd, Buffalo Grove, IL 60089",Buffalo Grove,Lake,(847) 415-1370,shuloffice@bnaishalom.org,bnaishalom.org,Traditional Orthodox synagogue serving northwest suburbs.
Congregation Or Shalom,Church/Religious,Jewish - Reform,"21 Hawthorn Pkwy, Vernon Hills, IL 60061",Vernon Hills,Lake,(847) 362-1948,orshalom@orshalomlc.org,orshalomlc.org,Reform synagogue serving Lake County.
Chabad Jewish Center of Vernon Hills,Church/Religious,Jewish - Chabad/Orthodox,"204 US Highway 45, Vernon Hills, IL 60061",Vernon Hills,Lake,(847) 984-2919,rabbi@chabadvernonhills.org,chabadvernonhills.org,"Chabad center with synagogue, classes, youth programs."
Rohr Chabad Center of Glenview,Church/Religious,Jewish - Chabad/Orthodox,"701 Harlem Ave, Glenview, IL 60025",Glenview,Cook,(847) 910-1738,chabad@chabadofglenview.com,chabadofglenview.com,Chabad center serving Glenview and Morton Grove.
Lincolnwood Jewish Congregation A.G. Beth Israel,Church/Religious,Jewish - Modern Orthodox,"7117 N Crawford Ave, Lincolnwood, IL 60712",Lincolnwood,Cook,(847) 676-0491,,ljcagbi.org,Modern Orthodox synagogue. Significant building one block south of Touhy Ave.
Lubavitch Chabad of Niles - F.R.E.E.,Church/Religious,Jewish - Chabad/Orthodox,"9401 Margail Ave, Des Plaines, IL 60016",Des Plaines,Cook,(847) 296-1770,,chabadandfree.com,Chabad center serving Niles/Des Plaines area. Russian Jewish community outreach.
Maine Township Jewish Congregation Shaare Emet,Church/Religious,Jewish - Conservative,"8800 W Ballard Rd, Des Plaines, IL 60016",Des Plaines,Cook,(847) 297-2006,,,"LARGE building on Ballard Rd. Historic synagogue, may have merged with Northbrook Community Synagogue - verify status."
