Entity,Type,Town,ZIP,County,Contact Name,Email,Phone,Subject Line,Priority Tier,Est Revenue,Website,Notes,Status
Evanston,Municipality,Evanston,60201,Cook,"John Crawford, Director of Operations",crawfordj@eths202.org,(847) 424-7405,Exterior Building Maintenance — Evanston,B,"$8,000",cityofevanston.org,"Population: 75,100; Municipal Buildings: City Hall, Police HQ, 5 Fire Stations, Public Works facility, Civic Center, Levy Senior Center, Ecology Center, multiple parking structures; Procurement Portal",Ready to Send
Skokie,Municipality,Skokie,60077,Cook,"Michael Aleksic, Asst. Finance Director",michael.aleksic@skokie.org,847-933-8240,Exterior Building Maintenance — Skokie,B,"$8,000",skokie.org,"Population: 64,930; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works building, Skokie Heritage Museum, water treatment plant; Procurement Portal: Yes - village purchasi",Ready to Send
Arlington Heights,Municipality,Arlington Heights,60004,Cook,"Cris Papierniak, Director of Public Works",cpapierniak@vah.com,(847) 506-3200,Exterior Building Maintenance — Arlington Heights,B,"$8,000",vah.com,"Population: 74,694; Municipal Buildings: Village Hall, Police Station, 4 Fire Stations, Public Works facility, Senior Center, Recreation Center, water plant; Procurement Portal: Yes - village bids & R",Ready to Send
Palatine,Municipality,Palatine,60067,Cook,"Matt Barry, Director of Public Works",mbarry@palatine.il.us,847-705-5200,Exterior Building Maintenance — Palatine,B,"$8,000",palatine.il.us,"Population: 65,091; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works facility, Community Center, water treatment; Procurement Portal: Yes - Bids & RFPs page | Managed b",Ready to Send
Schaumburg,Municipality,Schaumburg,60173,Cook,Purchasing Division,bids@schaumburg.com,(847) 884-5000,Exterior Building Maintenance — Schaumburg,B,"$8,000",villageofschaumburg.com,"Population: 76,432; Municipal Buildings: Village Hall, Police HQ, 4 Fire Stations, Public Works complex, Prairie Center for the Arts, Al Larson Prairie Center, Community Recreation Center; Procurement",Ready to Send
Des Plaines,Municipality,Des Plaines,60016,Cook,"Dominik Bronakowski, City Clerk",dbronakowski@desplainesil.gov,847-391-5300,Exterior Building Maintenance — Des Plaines,B,"$8,000",desplaines.org,"Population: 58,020; Municipal Buildings: City Hall, Police Station, 4 Fire Stations, Public Works building, Lake Opeka complex, Senior/Community Center; Procurement Portal: Yes - Bids & Proposals page",Ready to Send
Mount Prospect,Municipality,Mount Prospect,60056,Cook,"Karen Agoranos, Village Clerk",kagoranos@mountprospect.org,847-392-6000,Exterior Building Maintenance — Mount Prospect,B,"$8,000",mountprospect.org,"Population: 54,837; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works, Senior Center, Community Center; Procurement Portal: Yes - Bids & RFPs page",Ready to Send
Hoffman Estates,Municipality,Hoffman Estates,60169,Cook,"Joseph Nebel, Director of Public Works",joseph.nebel@vohe.org,(847) 490-6800,Exterior Building Maintenance — Hoffman Estates,B,"$8,000",hoffmanestates.org,"Population: 50,190; Municipal Buildings: Village Hall, Police Station, 4 Fire Stations, Public Works building, Sears Centre (NOW Arena), Prairie Stone campus; Procurement Portal: Yes - Purchasing page",Ready to Send
Glenview,Municipality,Glenview,60025,Cook,Purchasing,purchasing@glenview.il.us,(888) 400-4204,Exterior Building Maintenance — Glenview,B,"$8,000",glenview.il.us,"Population: 47,174; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works facility, Park Center, water plant, Glen of North Glenview mixed-use; Procurement Portal: Yes - Bid",Ready to Send
Park Ridge,Municipality,Park Ridge,60068,Cook,"Sarah Mitchell, Director of Public Works",procurement@parkridge.us,(847) 744-9052,Exterior Building Maintenance — Park Ridge,B,"$8,000",parkridge.us,"Population: 37,916; Municipal Buildings: City Hall, Police Station, 3 Fire Stations, Public Works garage, Senior Center, Community Center, Uptown Garage; Procurement Portal: Yes - Bids & RFPs",Ready to Send
Wheeling,Municipality,Wheeling,60090,Cook,Public Works / Village Manager,kbrady@wheelingil.gov,847-459-2600,Exterior Building Maintenance — Wheeling,B,"$8,000",wheelingil.gov,"Population: 37,882; Municipal Buildings: Village Hall, Police Station, 2 Fire Stations, Public Works building, Community Recreation Center, Pavilion Senior Center; Procurement Portal: Yes - Bids page",Ready to Send
Northbrook,Municipality,Northbrook,60062,Cook,Purchasing,CHINB_GM@hilton.com,(847) 803-7100,Exterior Building Maintenance — Northbrook,B,"$8,000",northbrook.il.us,"Population: 34,243; Municipal Buildings: Village Hall, Police Station, 3 Fire Stations, Public Works facility, Village Green Center, water plant; Procurement Portal: Yes - Bids & RFPs page | Managed b",Ready to Send
