Church Name,Denomination,Address,Town,Phone,Email,Website,Size/Notes
Willow Creek Community Church - South Barrington,Non-Denominational (Mega-Church),"67 Algonquin Rd, South Barrington, IL 60010",South Barrington,(847) 765-5000,info@willowcreek.org,willowcreek.org,"MEGA-CHURCH. ~25,000 weekly attendance. Massive campus with 7,200-seat auditorium, multiple buildings, atrium, offices. One of largest churches in US."
Willow Creek Community Church - North Shore,Non-Denominational (Mega-Church),"2200 Shermer Rd, Glenview, IL 60026",Glenview,(847) 441-6599,info@willowcreek.org,willowcreek.org,"Satellite campus of Willow Creek. Large facility in Glenview."
Harvest Bible Chapel - Rolling Meadows,Non-Denominational (Mega-Church),"800 S Rohlwing Rd, Rolling Meadows, IL 60008",Rolling Meadows,(847) 398-7005,info@harvestbible.org,harvestbible.org,"MEGA-CHURCH. Large campus, formerly one of 50 largest churches in US. Multiple buildings, large parking structure."
The Orchard Evangelical Free Church - Arlington Heights,Evangelical Free,"1330 N Douglas Ave, Arlington Heights, IL 60004",Arlington Heights,(847) 392-4840,info@theorchard.church,theorchard.church,"Large multi-campus church. Main campus with large worship center, offices, classrooms. 6 total campuses."
The Orchard Evangelical Free Church - Vernon Hills,Evangelical Free,"870 West End Ct, Vernon Hills, IL 60061",Vernon Hills,(224) 864-1200,info@theorchard.church,theorchard.church,"Satellite campus of The Orchard in Vernon Hills."
Christ Church - Lake Forest,Non-Denominational,"100 N Waukegan Rd, Lake Forest, IL 60045",Lake Forest,(847) 234-1001,jneef@cclf.org,christchurchil.org,"Large multi-site church (4 campuses). Lake Forest is main campus with large building and grounds."
Christ Church - Highland Park,Non-Denominational,"1713 Green Bay Rd, Highland Park, IL 60035",Highland Park,(847) 234-1001,jneef@cclf.org,christchurchil.org,"Satellite campus of Christ Church IL."
Christ Church - Vernon Hills,Non-Denominational,"293 Oakwood Rd, Vernon Hills, IL 60061",Vernon Hills,(847) 234-1001,jneef@cclf.org,christchurchil.org,"Satellite campus of Christ Church IL."
Christ Church - Grayslake (Crossroads),Non-Denominational,"1350 IL Route 137, Grayslake, IL 60030",Grayslake,(847) 234-1001,jneef@cclf.org,christchurchil.org,"Satellite campus of Christ Church IL."
The Chapel - Libertyville,Non-Denominational,"1200 American Way, Libertyville, IL 60048",Libertyville,(847) 201-2777,libertyville@chapel.org,chapel.org,"Large multi-site church (9 campuses). ~1,400 weekly attendance at this campus. Large facility."
The Chapel - Grayslake,Non-Denominational,"25270 W IL Route 60, Grayslake, IL 60030",Grayslake,(847) 201-2777,grayslake@chapel.org,chapel.org,"Satellite campus of The Chapel."
The Chapel - Mundelein,Non-Denominational,,Mundelein,(847) 201-2777,,chapel.org,"Satellite campus of The Chapel."
The Chapel - Lake Zurich,Non-Denominational,,Lake Zurich,(847) 201-2777,,chapel.org,"Satellite campus of The Chapel."
The Chapel - Palatine,Non-Denominational,,Palatine,(847) 201-2777,,chapel.org,"Satellite campus of The Chapel."
Village Church of Barrington,Non-Denominational,"1600 E Main St, Barrington, IL 60010",Barrington,(847) 381-5221,info@vcbweb.org,vcbweb.org,"Large church facility on Main St in Barrington."
Village Church of Gurnee,Non-Denominational (Missionary Church),"1319 N Hunt Club Rd, Gurnee, IL 60031",Gurnee,(847) 244-6606,village.church@vcgurnee.org,vcgurnee.org,"Large established church with multiple ministries. Sizeable building."
Calvary Community Church,Baptist (Converge),"1000 S Springinsguth Rd, Schaumburg, IL 60193",Schaumburg,(847) 895-7686,,calvaryschaumburg.org,"Large church campus in Schaumburg. Draws worshippers from 17+ miles away."
St. James Parish,Catholic,"820 N Arlington Heights Rd, Arlington Heights, IL 60004",Arlington Heights,(224) 345-7200,parishoffice@stjamesah.org,stjamesah.org,"LARGE CATHOLIC PARISH with school (PK-8). Church + school + rectory + parish offices. Multiple buildings."
Our Lady of the Wayside,Catholic,"434 W Park St, Arlington Heights, IL 60005",Arlington Heights,(847) 253-5353,communications@olwparish.org,olwparish.org,"LARGE CATHOLIC PARISH. ~3,000 households. Blue Ribbon school (PK-8). Church + school + rectory + parish hall. Multiple buildings."
St. Edna Catholic Church,Catholic,"2525 N Arlington Heights Rd, Arlington Heights, IL 60004",Arlington Heights,(847) 398-3362,fmccauley@stedna.org,stedna.org,"Large Catholic parish with extensive facilities. Large church building and parish center."
St. Theresa Catholic Church,Catholic,"455 N Benton St, Palatine, IL 60067",Palatine,(847) 358-7760,frtim@sttheresachurch.org,sttheresachurch.org,"Large Catholic parish with school (PK-8). Church + school + rectory. Multiple buildings, established 1954."
Holy Family Catholic Community,Catholic,"2515 Palatine Rd, Inverness, IL 60067",Inverness,(847) 359-0042,,holyfamilyparish.org,"LARGE CATHOLIC CAMPUS. Church + Holy Family Catholic Academy (IB World School, PK-8) + parish center. Multiple buildings on large property."
St. Hubert Catholic Church (Holy Archangels Parish),Catholic,"729 Grand Canyon St, Hoffman Estates, IL 60169",Hoffman Estates,(847) 885-7700,office@sainthubert.org,sthubert.org,"Large Catholic parish with school (PK-8). Church + school building + parish center. Part of Holy Archangels Parish."
Church of the Holy Spirit,Catholic,"1451 Bode Rd, Schaumburg, IL 60194",Schaumburg,(847) 882-7580,chsschaumburg@gmail.com,churchoftheholyspirit.org,"Catholic parish with religious education center. Established 1984. Multiple buildings."
St. Emily Parish,Catholic,"1400 E Central Rd, Mount Prospect, IL 60056",Mount Prospect,(847) 824-5049,djacob@stemily.org,stemily.org,"LARGE CATHOLIC PARISH with National Blue Ribbon school (PK-8). Church + school + parish offices. Multiple buildings."
St. Alphonsus Liguori Church,Catholic,"411 N Wheeling Rd, Prospect Heights, IL 60070",Prospect Heights,(847) 255-7452,rectory@saintalphonsus.com,saintalphonsusph.org,"Catholic parish with school (K-8). Church + school + rectory. Multiple buildings."
St. Paul of the Cross,Catholic,"320 S Washington Ave, Park Ridge, IL 60068",Park Ridge,(847) 825-7605,madeleinemccoy@spc-church.org,spc-church.org,"VERY LARGE CATHOLIC PARISH. 5,000 families. 750+ students in school. Campus: church, lower chapel, adoration chapel, TWO school buildings, parish center, rectory, food pantry. 7+ buildings."
Mary Seat of Wisdom,Catholic,"920 Granville Ave, Park Ridge, IL 60068",Park Ridge,(847) 825-3153,dho@mswparish.org,mswparish.org,"Large Catholic parish with school. Church + school (at 1352 S Cumberland Ave) + parish buildings. Multiple buildings."
Our Lady of Ransom,Catholic,"8300 N Greenwood Ave, Niles, IL 60714",Niles,(847) 823-2550,,olransom.org,"Catholic parish with school (PK-8). Church + school + parish buildings. Multiple buildings on campus."
All Saints Parish (St. Isaac Jogues),Catholic,"8149 W Golf Rd, Niles, IL 60714",Niles,(847) 967-1060,office@parishofallsaints.org,parishofallsaints.org,"Merged parish with two worship sites. Multiple buildings across campus."
St. John Brebeuf,Catholic,"8305 N Harlem Ave, Niles, IL 60714",Niles,(847) 966-8145,,sjbrebeuf.org,"Catholic parish with school (PK-8). Church + school + parish ministry center. Multiple buildings. Founded 1953."
